precision,recall,accuracy,AP,AUC,CLL,HRcora_new_ind_1
,,,,,,
cora_new_ind,,,,,,
IMDB_new_ind_47,,,,,,
0.5,1,0.624831309041835,0.916666666666667,0.944444444444444,-7.2836485,1
IMDB_new_ind_48,,,,,,
0.5,1,0.624831309041835,0.416666666666667,0.125,-5.4470015,0
IMDB_new_ind_49,,,,,,
0.5,1,0.624831309041835,0.5,0.375,-3.8400683,0
IMDB_new_ind_50,,,,,,
0.5,1,0.624831309041835,0.5,0.375,-4.7240734,0
IMDB_new_ind_51,,,,,,
0.5,1,0.624831309041835,0.5,0,-5.63003,0
IMDB_new_ind_52,,,,,,
0.5,1,0.624831309041835,0.5,0.444444444444444,-6.7548103,0.5
IMDB_new_ind_53,,,,,,
0.5,1,0.624831309041835,0.5,0,-5.63003,0
IMDB_new_ind_54,,,,,,
0,0,0.624831309041835,0.5,0,-6.174374,0
IMDB_new_ind_55,,,,,,
0,0,0.624831309041835,0.444444444444444,0.222222222222222,-7.8252707,0
IMDB_new_ind_56,,,,,,
0.5,1,0.624831309041835,1,1,-4.626073,1
IMDB_new_ind_57,,,,,,
0.5,1,0.624831309041835,0.583333333333333,0.625,-3.4988706,0
IMDB_new_ind_58,,,,,,
0.333333333333333,0.5,0.624831309041835,0.5,0.25,-4.4036827,0
IMDB_new_ind_59,,,,,,
0.5,1,0.624831309041835,0.75,0.5,-4.687358,1
IMDB_new_ind_60,,,,,,
0.5,1,0.624831309041835,0.833333333333333,0.75,-3.4870718,1
IMDB_new_ind_61,,,,,,
0.5,1,0.624831309041835,0.75,0.625,-4.6824636,1
IMDB_new_ind_62,,,,,,
0.333333333333333,0.5,0.624831309041835,0.5,0.25,-5.034017,0
IMDB_new_ind_63,,,,,,
0.5,1,0.624831309041835,0.5,0,-5.63003,0
IMDB_new_ind_64,,,,,,
0.5,1,0.624831309041835,0.5,0,-6.0032024,0
IMDB_new_ind_65,,,,,,
0,0,0.624831309041835,0.416666666666667,0,-5.546187,0
IMDB_new_ind_66,,,,,,
0.666666666666667,1,0.624831309041835,0.666666666666667,0.5,-4.0323315,0
IMDB_new_ind_67,,,,,,
0.5,0.666666666666667,0.624831309041835,0.755555555555556,0.722222222222222,-4.789892,0.5
IMDB_new_ind_68,,,,,,
